,url,SalePrice,Address,Neighborhood,Type,YearBlt,LotSize,int_lot,bedrooms,bathrooms,full_brs,1/2_brs,kitchen_level,kitchen_area,kitchen_misc,family_desc,family_level,family_area,famly_misc,dining_desc,dining_level,dining_area,dining_misc,living_desc,living_level,basement_area,basement_qual,flooring_desc,heat_desc,cooling_desc,appliances,interior_desc,interior_door,Total_spaces,Parking_features,Garage_spaces,Covered_spaces,Lot_size2,Lot_features,Property_levels,patio/porch_feature,Zoning,Structure_style,Property_SubType,Construction_material,Foundation,Property_condition,New_construction
110,https://www.zillow.com/homedetails/8063-W-Prospect-Ct-Niles-IL-60714/3492659_zpid/,"359,000","8063 W Prospect Ct,"," Niles, IL 60714",Single Family Residence,1956,"6,290 sqft",--, 2, 2, 2,, Main, 154 , Eating Area-Table Space, Flooring(Ceramic Tile), Basement, 648 ,, Flooring(Hardwood), Main, 216 ," Separate, L-shaped", Flooring(Hardwood), Main,," Full,Finished", Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Refrigerator, Washer, Dryer",,, 5, Driveway,, 2," 6,290 sqft"," Cul-De-Sac, Landscaped", One, Patio,, Step Ranch, Single Family Residence, Brick,,, No
111,https://www.zillow.com/homedetails/8063-W-Prospect-Ct-Niles-IL-60714/3492659_zpid/,"359,000","8063 W Prospect Ct,"," Niles, IL 60714",Single Family Residence,1956,"6,290 sqft",--, 2, 2, 2,, Main, 154 , Eating Area-Table Space, Flooring(Ceramic Tile), Basement, 648 ,, Flooring(Hardwood), Main, 216 ," Separate, L-shaped", Flooring(Hardwood), Main,," Full,Finished", Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Refrigerator, Washer, Dryer",,, 5, Driveway,, 2," 6,290 sqft"," Cul-De-Sac, Landscaped", One, Patio,, Step Ranch, Single Family Residence, Brick,,, No
112,https://www.zillow.com/homedetails/4827-N-Washtenaw-Ave-Chicago-IL-60625/3642654_zpid/,"698,000","4827 N Washtenaw Ave,"," Chicago, IL 60625",Single Family Residence,1921,"3,746 sqft","1,650", 0, 2, 1, 1, Main, 196 , Granite Counters,,,,, Flooring(Hardwood), Main, 400 ,, Flooring(Hardwood), Main,," Full,Unfinished",, Steam, 2 (Window/Wall Unit)," Range, Microwave, Dishwasher, Refrigerator, Stainless Steel Appliance(s)",,,, ,,," 3,746 sqft",, Two,,, Bungalow, Single Family Residence, Brick,,, No
113,https://www.zillow.com/homedetails/4938-N-Leonard-Dr-UNIT-3A-Norridge-IL-60706/2081834846_zpid/,"149,900","4938 N Leonard Dr UNIT 3A,"," Norridge, IL 60706",Condominium,No Data,,750, 1, 1, 1,, Main, 136 ,,,,,, Flooring(Hardwood), Main, 240 ,, Flooring(Hardwood), Main,, None, Hardwood, Electric, 2 (Window/Wall Unit),, Open Floorplan,, 2, ,,,,,,,,, Condominium, Brick,,, No
114,https://www.zillow.com/homedetails/2005-Ammer-Ridge-Ct-UNIT-301-Glenview-IL-60025/2088640708_zpid/,"269,900","2005 Ammer Ridge Ct UNIT 301,"," Glenview, IL 60025",Condominium,1980,,--, 2, 2, 2,, Main, 224 ," Eating Area-Table Space, Pantry-Closet",,,,," Windows(Blinds),Flooring(Parquet)", Main, 384 , Separate," Windows(Blinds),Flooring(Parquet)", Main,, None, Hardwood, Electric, Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s)",,, 3, Garage,, 1,,,,,,, Condominium, Brick,,, No
115,https://www.zillow.com/homedetails/230-E-Ontario-St-APT-2403-Chicago-IL-60611/3866965_zpid/,"145,000","230 E Ontario St APT 2403,"," Chicago, IL 60611",Condominium,1969,,675, 1, 1, 1,, Main, 80 , Eating Area-Breakfast Bar,,,,,, Main, 216 , Combined w/ LivRm," Windows(Blinds),Flooring(Carpet)", Main,, None,," Forced Air, Indv Controls", Central Air," Range, Microwave, Dishwasher, Refrigerator", Storage,, 1, Garage - Attached,, 1,,,, Roof Deck,,, Condominium," Brick, Concrete", Concrete Perimeter,, No
116,https://www.zillow.com/homedetails/3109-N-Lawndale-Ave-Chicago-IL-60618/3669643_zpid/,"742,000","3109 N Lawndale Ave,"," Chicago, IL 60618",Single Family Residence,No Data,"2,962 sqft","2,607", 4, 4, 3, 1, Main, 132 ," Eating Area-Breakfast Bar, Eating Area-Table Space"," Windows(None),Flooring(Ceramic Tile)", Basement, 384 ,," Windows(None),Flooring(Hardwood)", Main, 192 , Separate," Windows(None),Flooring(Hardwood)", Main,," Full,Finished", Hardwood, Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Stainless Steel Appliance(s)", Dry Bar,, 2, Garage,, 2," 2,962 sqft",, Two," Deck, Patio, Porch",, Victorian, Single Family Residence, Other, Concrete Perimeter,, No
117,https://www.zillow.com/homedetails/3109-N-Lawndale-Ave-Chicago-IL-60618/3669643_zpid/,"742,000","3109 N Lawndale Ave,"," Chicago, IL 60618",Single Family Residence,No Data,"2,962 sqft","2,607", 4, 4, 3, 1, Main, 132 ," Eating Area-Breakfast Bar, Eating Area-Table Space"," Windows(None),Flooring(Ceramic Tile)", Basement, 384 ,," Windows(None),Flooring(Hardwood)", Main, 192 , Separate," Windows(None),Flooring(Hardwood)", Main,," Full,Finished", Hardwood, Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Stainless Steel Appliance(s)", Dry Bar,, 2, Garage,, 2," 2,962 sqft",, Two," Deck, Patio, Porch",, Victorian, Single Family Residence, Other, Concrete Perimeter,, No
118,https://www.zillow.com/homedetails/2567-Steven-Ln-Northbrook-IL-60062/49913449_zpid/,"819,500","2567 Steven Ln,"," Northbrook, IL 60062",Single Family Residence,1998,0.28 Acres,"3,135", 4, 3, 2, 1, Main, 240 ," Eating Area-Table Space, Island, Pantry-Closet"," Windows(Plantation Shutters),Flooring(Hardwood)", Main, 360 ,," Windows(None),Flooring(Hardwood)", Main, 234 , Combined w/ LivRm," Windows(Curtains/Drapes),Flooring(Hardwood)", Main, 1500 ," Full,Unfinished", Hardwood," Natural Gas, Solar, Forced Air", Central Air," Double Oven, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, Cooktop, Range Hood", Open Floorplan,, 3, Garage - Attached,, 3, 0.28 Acres, Corner Lot, Two, Patio,, Traditional, Single Family Residence," Brick, Cedar", Concrete Perimeter,, No
119,https://www.zillow.com/homedetails/15321-Dorchester-Ave-Dolton-IL-60419/4256003_zpid/,"144,900","15321 Dorchester Ave,"," Dolton, IL 60419",Single Family Residence,1956,"4,961 sqft","1,255", 4, 1, 1,, Main, 220 , Eating Area-Table Space,,,,, Flooring(Wood Laminate), Main, 195 , Kitchen/Dining Combo, Flooring(Carpet), Main,, None," Wood Laminate Floors, Some Carpeting"," Natural Gas, Forced Air", Central Air," Range, Refrigerator, Washer, Dryer"," 1st Floor Bedroom, 1st Floor Full Bath",, 2, Garage,, 2," 4,961 sqft"," Landscaped, Sidewalks, Streetlights", One, Patio,, Ranch, Single Family Residence, Cedar,,, No
120,https://www.zillow.com/homedetails/1155-W-Eddy-St-1-Chicago-IL-60657/63695224_zpid/,"685,000","1155 W Eddy St #1,"," Chicago, IL 60657",Condominium,2002,,--, 3, 3, 2, 1, Main, 162 , Island," Windows(None),Flooring(Carpet)", Lower, 442 ,,,, 345 ,," Windows(None),Flooring(Hardwood)", Main,," Full,Finished",," Natural Gas, Forced Air", Central Air, Stainless Steel Appliance(s),,, 1, Garage,, 1,,,,,,, Condominium," Brick, Block", Concrete Perimeter,, No
121,https://www.zillow.com/homedetails/14643-Golf-Rd-Orland-Park-IL-60462/4180987_zpid/,"414,900","14643 Golf Rd,"," Orland Park, IL 60462",Townhouse,1991,No Data,"1,900", 2, 4, 3, 1, Main, 187 , Eating Area-Breakfast Bar, Flooring(Hardwood), Main, 176 ,, Flooring(Hardwood), Main, 255 , Separate, Flooring(Hardwood), Main,," Full,Finished", Hardwood, Natural Gas, Central Air," Double Oven, Dishwasher, Refrigerator, Washer, Dryer, Built-In Oven, Range Hood"," Vaulted/Cathedral Ceilings, 1st Floor Bedroom, 1st Floor Full Bath, Walk-In Closet(s)",, 2, Garage - Attached,, 2,," On Golf Course, Landscaped",, Deck,,, Townhouse," Brick, Cedar", Concrete Perimeter,, No
122,https://www.zillow.com/homedetails/513-N-Elm-St-Mount-Prospect-IL-60056/3326120_zpid/,"309,900","513 N Elm St,"," Mount Prospect, IL 60056",Single Family Residence,1953,"7,579 sqft","1,280", 4, 1, 1,, Main, 117 , Eating Area-Table Space,,,,,,, 176 , None, Flooring(Hardwood), Main,," Full,Finished"," Hardwood, Some Carpeting, Some Wood Floors"," Natural Gas, Forced Air"," Central Air, 1 (Window/Wall Unit)"," Range, Dishwasher, Refrigerator, Washer, Dryer, Stainless Steel Appliance(s)"," Dry Bar, 1st Floor Bedroom",,, Garage,,," 7,579 sqft",, Two,,, Cape Cod, Single Family Residence," Aluminum Siding, Brick",,, No
