,1/2_brs,Address,LotSize,Neighborhood,SalePrice,Type,YearBlt,appliances,basement_area,basement_qual,bathrooms,bedrooms,cooling_desc,dining_area,dining_desc,dining_level,dining_misc,family_area,family_desc,family_level,famly_misc,fooring_desc,full_brs,heat_desc,interior_desc,interior_door,kitchen_area,kitchen_level,kitchen_misc,living_desc,living_level,url
18,,"550 N Saint Clair St APT 1003,",," Chicago, IL 60611","220,000",Condominium,2008," Range, Microwave, Dishwasher, High End Refrigerator, Freezer, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Cooktop",, None, 1, 0, Central Air, 252 ,,, None,,,,, Hardwood, 1," Natural Gas, Forced Air, Indv Controls"," Sauna, Elevator, Storage, Built-in Features, 10'  Ceiling, Doorman, Lobby",, 84 , Main," Galley, Updated Kitchen"," Windows(None),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/550-N-Saint-Clair-St-APT-1003-Chicago-IL-60611/117890748_zpid/
19,,"7434 Tiffany Dr,",No Data," Orland Park, IL 60462","349,900",Single Family Residence,1987," Range, Dishwasher, Refrigerator, Washer, Dryer, Stainless Steel Appliance(s), Range Hood",," None,Crawl", 2, 3, Central Air, 247 ," Windows(Double Pane Windows,Curtains/Drapes,Screens,Window Treatments),Flooring(Hardwood)",, L-shaped,," Windows(Curtains/Drapes,Insulated Windows,Window Treatments),Flooring(Carpet)",,," Hardwood, Some Wood Floors", 2, Natural Gas,," Sliding Doors, 36"" Minimum Entry Door, Sliding Glass Door(s)", 192 , Main," Eating Area-Table Space, Custom Cabinetry, Granite Counters, Updated Kitchen"," Windows(Bay Window(s),Screens),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/7434-Tiffany-Dr-Orland-Park-IL-60462/4186281_zpid/
20,,"4010 Monroe St APT 203,",," Bellwood, IL 60104","129,900",Condominium,No Data,,, None, 1, 2, 1 (Window/Wall Unit), 225 ,,,,,,,,, 1, Natural Gas,,, 126 , Second,,, Second,https://www.zillow.com/homedetails/4010-Monroe-St-APT-203-Bellwood-IL-60104/58363142_zpid/
21,,"208 Villa Rd,","6,599 sqft"," Streamwood, IL 60107","199,900",Single Family Residence,1970," Range, Refrigerator",," None,Crawl", 1, 3, Central Air, 192 ,,,,,,,,, 1," Natural Gas, Forced Air",,, 192 , Main, Eating Area-Table Space, Flooring(Wood Laminate), Main,https://www.zillow.com/homedetails/208-Villa-Rd-Streamwood-IL-60107/3388833_zpid/
22,,"1359 S Avers Ave,",," Chicago, IL 60623","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zillow.com/homedetails/1359-S-Avers-Ave-Chicago-IL-60623/158719252_zpid/
23, 1,"3521 W 64th St,","4,051 sqft"," Chicago, IL 60629","219,900",Single Family Residence,1886,,," Full,Walkout,Finished", 3, 3, Central Air, 143 , Flooring(Hardwood), Main,, 288 , Flooring(Ceramic Tile), Basement,,, 2," Natural Gas, Forced Air",,, 180 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/3521-W-64th-St-Chicago-IL-60629/3953257_zpid/
24, 1,"2780 Shannon Rd,",0.33 Acres," Northbrook, IL 60062","725,000",Single Family Residence,1967," Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Wine Refrigerator, Humidifier",," Full,Finished", 3, 5, Central Air, 338 ," Windows(Curtains/Drapes),Flooring(Hardwood)", Main, Separate, 368 ," Windows(None),Flooring(Hardwood)", Main,, Hardwood, 2," Natural Gas, Forced Air",,, 198 , Main," Eating Area-Breakfast Bar, Eating Area-Table Space, Pantry-Closet"," Windows(Curtains/Drapes),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/2780-Shannon-Rd-Northbrook-IL-60062/3334099_zpid/
25,,"3331 Flossmoor Rd,",0.92 Acres," Flossmoor, IL 60430","239,700",Single Family Residence,1946," Range, Microwave, Dishwasher, Refrigerator, Stainless Steel Appliance(s)",," None,Crawl", 2, 3, Central Air, 180 ,, Main, Separate,,,,,, 2," Natural Gas, Forced Air"," 1st Floor Bedroom, 1st Floor Full Bath",, 192 , Main," Eating Area-Table Space, Granite Counters, SolidSurfaceCounter, Updated Kitchen",, Main,https://www.zillow.com/homedetails/3331-Flossmoor-Rd-Flossmoor-IL-60430/4300220_zpid/
26, 1,"1909 Clinton Ave,","4,752 sqft"," Berwyn, IL 60402","524,200",Single Family Residence,1925,, 1440 ," Full,Finished", 4, 5, Central Air, 216 ,, Main,, 216 , Flooring(Ceramic Tile), Basement,, Hardwood, 3," Natural Gas, Forced Air"," Wet Bar, 1st Floor Bedroom, 1st Floor Full Bath, Built-in Features, Walk-In Closet(s), Bookcases, Center Hall Plan, 9' Ceilings, Coffered Ceiling(s), Open Floorplan, Dining Combo",, 225 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/1909-Clinton-Ave-Berwyn-IL-60402/3820082_zpid/
27, 1,"430 S Dryden Pl,","6,599 sqft"," Arlington Heights, IL 60005","399,000",Single Family Residence,1952," Range, Dishwasher, Washer, Dryer",, None, 2, 3, Central Air, 209 , Flooring(Hardwood), Main, Combined w/ LivRm, 176 , Flooring(Hardwood), Main,, Hardwood, 1," Natural Gas, Forced Air", Vaulted/Cathedral Ceilings,, 108 , Main, Eating Area-Table Space, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/430-S-Dryden-Pl-Arlington-Heights-IL-60005/3322822_zpid/
28, 1,"60 E Monroe St UNIT 1801,",," Chicago, IL 60603","1,025,000",Condominium,2009," Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Cooktop",, None, 3, 3, Central Air, 396 , Flooring(Hardwood), Main, Combined w/ LivRm,,,,, Hardwood, 2," Electric, Indv Controls"," Walk-In Closet(s), Open Floorplan",, 112 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/60-E-Monroe-St-UNIT-1801-Chicago-IL-60603/118958435_zpid/
29,,"6 S Laflin St APT 610,",," Chicago, IL 60607","389,900",Condominium,2002," Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Stainless Steel Appliance(s)",, None, 2, 2, Central Air, 195 ,, Main, Combined w/ LivRm,,,,, Hardwood, 2," Natural Gas, Forced Air"," Storage, Walk-In Closet(s)",, 182 , Main, Eating Area-Breakfast Bar," Windows(Blinds),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/6-S-Laflin-St-APT-610-Chicago-IL-60607/2079628337_zpid/
30,,"125 S Jefferson St UNIT 702,",," Chicago, IL 60661","399,000",Condominium,2003," Range, Dishwasher, Refrigerator, Microwave",, None, 2, 2, Central Air, 306 ,, Main,,,,,,, 2, Natural Gas,,, 108 , Main,,, Main,https://www.zillow.com/homedetails/125-S-Jefferson-St-UNIT-702-Chicago-IL-60661/65569964_zpid/
31,,"2561 W 80th Pl,",No Data," Chicago, IL 60652","289,900",Single Family Residence,1953,,," Partial,Finished", 2, 2, Central Air, 180 ,,, None, 400 ," Windows(None),Flooring(Ceramic Tile)", Basement,,, 2, Natural Gas,,, 144 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/2561-W-80th-Pl-Chicago-IL-60652/3978333_zpid/
32,,"163 S Benton St,","6,551 sqft"," Palatine, IL 60067","325,000",Single Family Residence,No Data," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s)",," Full,Partially Finished", 2, 3, Central Air, 280 , Flooring(Hardwood), Main, Separate,,,,, Hardwood, 2," Natural Gas, Forced Air"," 1st Floor Bedroom, 1st Floor Full Bath",, 90 , Main, Updated Kitchen, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/163-S-Benton-St-Palatine-IL-60067/3267999_zpid/
33,,"1329 S Avers Ave,",," Chicago, IL 60623","65,000",,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zillow.com/homedetails/1329-S-Avers-Ave-Chicago-IL-60623/158719249_zpid/
34,,"10602 S Longwood Dr,",0.31 Acres," Chicago, IL 60643","599,900",Single Family Residence,No Data," Range, Microwave, Dishwasher, Refrigerator, Stainless Steel Appliance(s)",," Full,Walkout,Finished,Rec/Family Area", 3, 3, Central Air, 300 , Flooring(Hardwood), Main, Separate, 1260 , Flooring(Carpet), Basement,, Hardwood, 3," Natural Gas, Forced Air"," 1st Floor Bedroom, 1st Floor Full Bath, Open Floorplan",, 156 , Main, Eating Area-Breakfast Bar, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/10602-S-Longwood-Dr-Chicago-IL-60643/4146425_zpid/
35, 1,"4433 N Harding Ave,","3,763 sqft"," Chicago, IL 60625","649,907",Single Family Residence,1915," Range, Microwave, Dishwasher, Refrigerator, Stainless Steel Appliance(s)", 600 ," Full,English,Finished,Exterior Access,Sleeping Area", 4, 6," Central Air, Zoned", 156 ," Windows(Blinds),Flooring(Hardwood)", Main, Separate, 168 ," Windows(None),Flooring(Wood Laminate)", Main,," Hardwood, Wood Laminate Floors", 3," Natural Gas, Forced Air, 2+ Sep Heating Systems, Indv Controls, Zoned"," 1st Floor Bedroom, In-Law Floorplan, 1st Floor Full Bath, Walk-In Closet(s), Granite Counters, Separate Dining Room",, 110 , Main," Eating Area-Table Space, Custom Cabinetry, Granite Counters, Updated Kitchen"," Windows(Blinds),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/4433-N-Harding-Ave-Chicago-IL-60625/3644613_zpid/
36,,"6301 N Sheridan Rd APT 14D,",," Chicago, IL 60660","115,000",Condominium,1970," Range, Microwave, Dishwasher",, None, 1, 1, Central Air, 306 , Flooring(Hardwood), Main, Combined w/ LivRm,,,,, Hardwood, 1, Forced Air, Storage,, 88 , Main, Eating Area-Table Space," Windows(Blinds),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/6301-N-Sheridan-Rd-APT-14D-Chicago-IL-60660/3690390_zpid/
37, 1,"12800 S 82nd Ave,",0.59 Acres," Palos Park, IL 60464","299,900",Single Family Residence,1952,,, None, 3, 4, Central Air, 384 , Flooring(Parquet), Main, Separate, 224 , Flooring(Parquet), Main,,, 2," Natural Gas, Forced Air",,, 180 , Main,, Flooring(Ceramic Tile), Main,https://www.zillow.com/homedetails/12800-S-82nd-Ave-Palos-Park-IL-60464/4049472_zpid/
38,,"402 S Wesley Ave #1,",," Oak Park, IL 60302","165,000",Condominium,1928,,, None, 1, 1, Central Air, 209 ,, Main,,,,,,, 1," Natural Gas, Forced Air",,, 90 , Main,,, Main,https://www.zillow.com/homedetails/402-S-Wesley-Ave-1-Oak-Park-IL-60302/2075715274_zpid/
39,,"437 W Division St APT 408,",," Chicago, IL 60610","365,000",Condominium,2008," Range, Microwave, Dishwasher, Refrigerator, Stainless Steel Appliance(s)",, None, 2, 2, Central Air, 288 , Flooring(Hardwood), Main, Combined w/ LivRm,,,,, Hardwood, 2, Natural Gas," Elevator, Storage, Open Floorplan",,,," Eating Area-Breakfast Bar, Island, Granite Counters, Updated Kitchen"," Windows(Blinds,Screens,Window Treatments),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/437-W-Division-St-APT-408-Chicago-IL-60610/101413487_zpid/
