,1/2_brs,Address,LotSize,Neighborhood,SalePrice,Type,YearBlt,appliances,basement_area,basement_qual,bathrooms,bedrooms,cooling_desc,dining_area,dining_desc,dining_level,dining_misc,family_area,family_desc,family_level,famly_misc,fooring_desc,full_brs,heat_desc,interior_desc,interior_door,kitchen_area,kitchen_level,kitchen_misc,living_desc,living_level,url
0,,"850 N Dewitt Pl APT 6E,",," Chicago, IL 60611","204,900",Condominium,1959," Range, Dishwasher, Refrigerator, Stainless Steel Appliance(s)",, None, 1, 1, 2 (Window/Wall Unit), 247 , Flooring(Wood Laminate), Main, Combined w/ LivRm,,,,,, 1, Radiant," Elevator, Storage, Walk-In Closet(s)",, 80 , Main, Updated Kitchen, Flooring(Wood Laminate), Main,https://www.zillow.com/homedetails/850-N-Dewitt-Pl-APT-6E-Chicago-IL-60611/3852325_zpid/
1,,"420 Haber Ct,","7,492 sqft"," Melrose Park, IL 60164","249,000",Single Family Residence,1952," Microwave, Dishwasher, Refrigerator, Washer, Dryer, Cooktop, Built-In Oven",," None,Crawl", 2, 3, Central Air, 182 ," Windows(Window Treatments),Flooring(Hardwood)", Main, Separate, 299 ," Windows(Window Treatments),Flooring(Vinyl)", Second,, Hardwood, 2, Natural Gas," 1st Floor Bedroom, 1st Floor Full Bath, Built-in Features, Walk-In Closet(s)",, 180 , Main, Eating Area-Table Space," Windows(Window Treatments),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/420-Haber-Ct-Melrose-Park-IL-60164/3611931_zpid/
2,,"309 22nd Ave,","3,659 sqft"," Bellwood, IL 60104","149,900",Single Family Residence,1923,,," Full,Unfinished", 1, 4, None, 132 , Flooring(Hardwood), Main, Separate,,,,,, 1," Natural Gas, Forced Air",,, 110 , Main, Pantry-Walk-in, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/309-22nd-Ave-Bellwood-IL-60104/3757104_zpid/
3,,"1521 N Lawndale Ave,","3,092 sqft"," Chicago, IL 60651","119,900",Single Family Residence,1890,, 900 ," Full,Unfinished", 1, 2, None, 210 ,, Main, Kitchen/Dining Combo,,,,,, 1, Space Heater,,, 169 , Main,,, Main,https://www.zillow.com/homedetails/1521-N-Lawndale-Ave-Chicago-IL-60651/3793296_zpid/
4,,"133 W Palatine Rd UNIT 106A,",," Palatine, IL 60067","309,900",Condominium,2005," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s)",," Full,Storage Space", 2, 2, Central Air, 300 ," Windows(Blinds),Flooring(Hardwood)", Main, Combined w/ LivRm,,,,," Hardwood, Some Carpeting, Some Wood Floors", 2," Natural Gas, Forced Air"," Elevator, Storage, Flexicore, Walk-In Closet(s), 9' Ceiling, Open Floorplan, Dining Combo", Sliding Doors, 165 , Main, Eating Area-Table Space," Windows(Blinds),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/133-W-Palatine-Rd-UNIT-106A-Palatine-IL-60067/80851422_zpid/
5,,"2900 W Lexington St,",," Chicago, IL 60612","599,900",Multi Family,No Data,,," Full,Finished", 4, 8,,,,,,,,,,, 4, Natural Gas,,,,,,,,https://www.zillow.com/homedetails/2900-W-Lexington-St-Chicago-IL-60612/2125307831_zpid/
6,,"956 W Cuyler Ave APT G,",," Chicago, IL 60613","225,000",Condominium,No Data," Range, Dishwasher, Refrigerator, Washer, Dryer",, None, 1, 2, Central Air, 110 , Flooring(Porcelain Tile), Main, Combined w/ LivRm,,,,,, 1," Natural Gas, Forced Air"," 1st Floor Bedroom, 1st Floor Full Bath, Storage",, 60 , Main,, Flooring(Porcelain Tile), Main,https://www.zillow.com/homedetails/956-W-Cuyler-Ave-APT-G-Chicago-IL-60613/70460627_zpid/
7,,"8920 S Carpenter St,","4,373 sqft"," Chicago, IL 60620","95,000",Single Family Residence,1954,,, None, 1, 3, None, 204 , Flooring(Vinyl), Main,, 182 , Flooring(Wood Laminate), Main,,, 1," Natural Gas, Forced Air",,, 143 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/8920-S-Carpenter-St-Chicago-IL-60620/4121240_zpid/
8, 1,"1567 Ridge Ave APT 604,",," Evanston, IL 60201","280,000",Condominium,1969," Range, Microwave, Dishwasher, Refrigerator",," Full,Partially Finished", 3, 3, 3+ (Window/Wall Unit), 315 ," Windows(None),Flooring(Hardwood)", Main, Separate,,,,, Hardwood, 2," Natural Gas, Steam, Baseboard"," Storage, Bookcases",, 132 , Main, Eating Area-Breakfast Bar," Windows(Curtains/Drapes),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/1567-Ridge-Ave-APT-604-Evanston-IL-60201/3564067_zpid/
9,,"5230 N Kenmore Ave APT 3A,",," Chicago, IL 60640","475,000",Condominium,2001," Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Cooktop, Range Hood",, None, 2, 3, Central Air, 260 , Flooring(Hardwood), Main, Combined w/ LivRm,,,,, Hardwood, 2, Radiant, Storage,, 90 , Main," Eating Area-Breakfast Bar, Custom Cabinetry, Granite Counters", Flooring(Hardwood), Main,https://www.zillow.com/homedetails/5230-N-Kenmore-Ave-APT-3A-Chicago-IL-60640/2146790654_zpid/
10,,"1607 S Saint Louis Ave,",," Chicago, IL 60623","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zillow.com/homedetails/1607-S-Saint-Louis-Ave-Chicago-IL-60623/158720220_zpid/
11,,"(Undisclosed Address),","10,105 sqft"," Burbank, IL 60459","195,000",Single Family Residence,1954,,," Full,Unfinished", 2, 3, Central Air, 100 ,, Main,,,,,,, 2," Natural Gas, Electric",,, 81 , Main,,, Main,https://www.zillow.com/homedetails/Burbank-IL-60459/3968002_zpid/
12,,"2250 W Granville Ave #3,",," Chicago, IL 60659","124,000",Condominium,No Data," Range, Microwave, Dishwasher, Refrigerator",, None, 1, 1, None, 216 , Flooring(Hardwood), Main, Separate,,,,, Hardwood, 1," Steam, Radiators",,, 153 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/2250-W-Granville-Ave-3-Chicago-IL-60659/3695469_zpid/
13,,"1309 S Avers Ave,",," Chicago, IL 60623","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zillow.com/homedetails/1309-S-Avers-Ave-Chicago-IL-60623/158719248_zpid/
14,,"212 W Washington St #1807-1808,",," Chicago, IL 60606","700,000",Condominium,1913," Range, Microwave, Dishwasher, Refrigerator, High End Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Wine Refrigerator, Range Hood",, None, 4, 4, Central Air, 414 , Flooring(Hardwood), Main,,,,,," Hardwood, Some Wood Floors", 4," Natural Gas, Forced Air"," Storage, Built-in Features, Walk-In Closet(s), 10'  Ceiling, Open Floorplan, Doorman, Lobby",, 200 , Main," Eating Area-Breakfast Bar, Updated Kitchen", Flooring(Hardwood), Main,https://www.zillow.com/homedetails/212-W-Washington-St-1807-1808-Chicago-IL-60606/2070239946_zpid/
15, 1,"4727 N Harding Ave,","3,136 sqft"," Chicago, IL 60625","449,000",Single Family Residence,1910," Range, Dishwasher, Refrigerator, Washer, Dryer, Range Hood",," None,Crawl", 4, 5," Central Air, Zoned", 140 , Flooring(Hardwood), Second, Separate, 209 , Flooring(Hardwood), Second,, Hardwood, 3, Forced Air," Vaulted/Cathedral Ceilings, 1st Floor Bedroom, In-Law Floorplan, 1st Floor Full Bath",, 150 , Second, Eating Area-Table Space, Flooring(Hardwood), Second,https://www.zillow.com/homedetails/4727-N-Harding-Ave-Chicago-IL-60625/3644295_zpid/
16, 1,"1537 Evergreen Ter,","8,276 sqft"," Glenview, IL 60025","485,000",Single Family Residence,1958," Range, Dishwasher, Refrigerator, Washer, Dryer",," Full,Finished", 3, 3, Central Air, 240 , Flooring(Carpet), Main, Combined w/ LivRm, 600 , Flooring(Vinyl), Basement,, Hardwood, 2," Natural Gas, Forced Air"," Wet Bar, 1st Floor Bedroom, 1st Floor Full Bath",, 208 , Main, Eating Area-Table Space, Flooring(Carpet), Main,https://www.zillow.com/homedetails/1537-Evergreen-Ter-Glenview-IL-60025/3348472_zpid/
17,,"9346 Landings Ln UNIT 506,",," Des Plaines, IL 60016","196,000",Condominium,1981," Double Oven, Range, Dishwasher, Refrigerator, Disposal",, None, 2, 2, Central Air, 252 , Flooring(Hardwood), Main, Combined w/ LivRm,,,,,, 2," Electric, Forced Air", Wet Bar,, 72 , Main," Eating Area-Table Space, Pantry-Closet, Pantry"," Windows(Blinds),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/9346-Landings-Ln-UNIT-506-Des-Plaines-IL-60016/3480187_zpid/
