,url,SalePrice,Address,Neighborhood,Type,YearBlt,LotSize,LotSize_2,bedrooms,bathrooms,full_brs,1/2_brs,kitchen_level,kitchen_area,kitchen_misc,family_desc,family_level,family_area,famly_misc,dining_desc,dining_level,dining_area,dining_misc,living_desc,living_level,basement_area,basement_qual,flooring_desc,heat_desc,cooling_desc,appliances,interior_desc,interior_door
47,https://www.zillow.com/homedetails/3838-N-Wayne-Ave-Chicago-IL-60613/3710957_zpid/,"1,095,000","3838 N Wayne Ave,"," Chicago, IL 60613",Single Family Residence,1890,"3,005 sqft","2,653", 4, 4, 2, 2, Main, 160 ," Eating Area-Breakfast Bar, Eating Area-Table Space, Island, Breakfast Room, Custom Cabinetry, Updated Kitchen"," Windows(Blinds),Flooring(Carpet)", Third, 595 ,," Windows(Blinds,Curtains/Drapes),Flooring(Hardwood)", Main, 196 , Separate," Windows(Blinds),Flooring(Hardwood)", Main,, None," Hardwood, Some Carpeting", Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Range Hood, ENERGY STAR Qualified Appliances, Gas Cooktop, Gas Oven"," Vaulted/Cathedral Ceilings, Walk-In Closet(s), Beamed Ceilings, Open Floorplan",
48,https://www.zillow.com/homedetails/2133-Hawthorne-Rd-Homewood-IL-60430/4276217_zpid/,"189,900","2133 Hawthorne Rd,"," Homewood, IL 60430",Single Family Residence,1950,"7,318 sqft","1,443", 3, 2, 2,, Main, 180 ,,, Main, 240 ,,,, 273 ,,, Main,, None,, Natural Gas, Central Air,,,
49,https://www.zillow.com/homedetails/12523-S-Harvard-Ave-Chicago-IL-60628/4158788_zpid/,"160,000","12523 S Harvard Ave,"," Chicago, IL 60628",Single Family Residence,1958,"4,922 sqft","1,074", 3, 2, 2,, Main, 165 , Eating Area-Table Space, Flooring(Ceramic Tile), Basement, 748 ,, Flooring(Carpet), Main, 204 , Separate, Flooring(Carpet), Main,," Full,Finished",, Natural Gas, Central Air," Range, Refrigerator",,
50,https://www.zillow.com/homedetails/6816-W-65th-St-APT-6-Chicago-IL-60638/87692295_zpid/,"315,000","6816 W 65th St APT 6,"," Chicago, IL 60638",Townhouse,2006,No Data,"1,850", 3, 4, 3, 1, Second, 110 ,,, Main, 380 ,,, Second, 380 ,,, Main,," Full,Finished",," Natural Gas, Electric", Central Air,,,
51,https://www.zillow.com/homedetails/6925-S-Carpenter-St-Chicago-IL-60621/2104800001_zpid/,"159,900","6925 S Carpenter St,"," Chicago, IL 60621",Multi Family,1930,,--, 4, 2, 2,,,,,,,,,,,,,,,," Full,Walkout,Finished",, Natural Gas,,,,
52,https://www.zillow.com/homedetails/6925-S-Carpenter-St-Chicago-IL-60621/2104800001_zpid/,"159,900","6925 S Carpenter St,"," Chicago, IL 60621",Multi Family,1930,,--, 4, 2, 2,,,,,,,,,,,,,,,," Full,Walkout,Finished",, Natural Gas,,,,
53,https://www.zillow.com/homedetails/1110-N-Lake-Shore-Dr-APT-3N-Chicago-IL-60611/2078058128_zpid/,"725,000","1110 N Lake Shore Dr APT 3N,"," Chicago, IL 60611",Condominium,1969,,"2,122", 3, 3, 2, 1, Main, 170 ," Island, Pantry, Updated Kitchen",,,,, Flooring(Hardwood), Main, 529 , Separate, Flooring(Hardwood), Main,, None," Hardwood, Heated", Radiant, 3+ (Window/Wall Unit)," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Wine Refrigerator, Built-In Oven, Range Hood"," Elevator, Storage, Walk-In Closet(s), Open Floorplan, Doorman, Lobby",
54,https://www.zillow.com/homedetails/4833-N-Olcott-Ave-UNIT-306-Harwood-Heights-IL-60706/89953798_zpid/,"319,900","4833 N Olcott Ave UNIT 306,"," Harwood Heights, IL 60706",Condominium,2007,,"1,226", 2, 2, 2,, Main, 140 ," Island, Granite Counters",,,,, Flooring(Hardwood), Main, 168 , Combined w/ LivRm, Flooring(Hardwood), Main,, None, Hardwood," Natural Gas, Forced Air, Steam, Radiant, 2+ Sep Heating Systems, Indv Controls", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s)"," Elevator, Storage, Flexicore", Sliding Glass Door(s)
55,https://www.zillow.com/homedetails/401-E-Ontario-St-APT-607-Chicago-IL-60611/58368045_zpid/,"249,000","401 E Ontario St APT 607,"," Chicago, IL 60611",Condominium,1990,,800, 1, 1, 1,, Main, 77 ,,,,,,, Main, 375 ,,, Main,, None,, Natural Gas, Central Air,,,
56,https://www.zillow.com/homedetails/1450-E-55th-Pl-APT-420S-Chicago-IL-60637/2123723742_zpid/,"190,000","1450 E 55th Pl APT 420S,"," Chicago, IL 60637",Condominium,1959,,--, 2, 2, 2,, Main, 70 ,,,,,," Windows(Blinds),Flooring(Wood Laminate)", Main, 272 ,," Windows(Blinds),Flooring(Wood Laminate)", Main,, None,," Steam, Baseboard", 3+ (Window/Wall Unit)," Range, Microwave, Dishwasher, Refrigerator",,
