,url,SalePrice,Address,Neighborhood,Type,YearBlt,LotSize,LotSize_2,bedrooms,bathrooms,full_brs,1/2_brs,kitchen_level,kitchen_area,kitchen_misc,family_desc,family_level,family_area,famly_misc,dining_desc,dining_level,dining_area,dining_misc,living_desc,living_level,basement_area,basement_qual,flooring_desc,heat_desc,cooling_desc,appliances,interior_desc,interior_door
29,https://www.zillow.com/homedetails/1740-N-Maplewood-Ave-APT-405-Chicago-IL-60647/63693621_zpid/,"399,900","1740 N Maplewood Ave APT 405,"," Chicago, IL 60647",Condominium,No Data,,"1,102", 2, 2, 2,, Main, 99 , Island,,,,, Flooring(Hardwood), Main, 238 , Combined w/ LivRm, Flooring(Hardwood), Main,, None, Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,
30,https://www.zillow.com/homedetails/5303-N-Oconto-Ave-Chicago-IL-60656/3584650_zpid/,"425,000","5303 N Oconto Ave,"," Chicago, IL 60656",Multi Family,1947,,"2,000", 4, 3, 2, 1, Main, 260 ," Eating Area-Breakfast Bar, Eating Area-Table Space", Flooring(Hardwood), Main, 260 ,,, Main, 480 , Combined w/ LivRm, Flooring(Hardwood), Main,," Full,Partially Finished,Concrete Block,Storage Space", Hardwood, Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s)"," Open Floorplan, Dining Combo",
31,https://www.zillow.com/homedetails/1425-E-69th-Pl-Chicago-IL-60637/2137931097_zpid/,"305,000","1425 E 69th Pl,"," Chicago, IL 60637",Multi Family,1908,,--, 7, 3, 3,,,,,,,,,,,,,,,," Full,Finished",, Natural Gas,,,,
32,https://www.zillow.com/homedetails/13112-S-Muskegon-Ave-Chicago-IL-60633/4174915_zpid/,"299,900","13112 S Muskegon Ave,"," Chicago, IL 60633",Single Family Residence,1942,No Data,"1,300", 4, 2, 2,, Main, 192 ,,,,,,,, 195 ,, Flooring(Hardwood), Main,," Full,Partially Finished",," Natural Gas, Forced Air", Central Air," Range, Dishwasher, Refrigerator, Washer, Dryer",,
33,https://www.zillow.com/homedetails/635-Perrie-Dr-APT-307-Elk-Grove-Village-IL-60007/89898201_zpid/,"240,000","635 Perrie Dr APT 307,"," Elk Grove Village, IL 60007",Condominium,2006,,"1,420", 2, 2, 2,, Main, 130 ," Eating Area-Breakfast Bar, Eating Area-Table Space",,,,, Flooring(Hardwood), Main, 196 , Combined w/ LivRm, Flooring(Hardwood), Main,, None," Hardwood, Heated"," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal"," Elevator, Storage",
34,https://www.zillow.com/homedetails/832-E-89th-St-Chicago-IL-60619/4113595_zpid/,"150,000","832 E 89th St,"," Chicago, IL 60619",Single Family Residence,1964,"5,009 sqft","1,200", 3, 2, 1, 1, Main, 280 ,,,,,,, Main, 336 ,,, Main,," Full,Finished",, Natural Gas, Central Air,,,
35,https://www.zillow.com/homedetails/906-W-Alleghany-Dr-APT-1C-Arlington-Heights-IL-60004/70452306_zpid/,"123,900","906 W Alleghany Dr APT 1C,"," Arlington Heights, IL 60004",Condominium,1973,,--, 1, 1, 1,, Main, 80 ,,,,,, Flooring(Wood Laminate), Main, 234 ,, Flooring(Wood Laminate), Main,, None, Wood Laminate Floors, Baseboard, 2 (Window/Wall Unit),," 1st Floor Bedroom, Storage",
36,https://www.zillow.com/homedetails/9700-Merrimac-Ave-Oak-Lawn-IL-60453/4065455_zpid/,"309,500","9700 Merrimac Ave,"," Oak Lawn, IL 60453",Single Family Residence,1959,No Data,"1,800", 3, 2, 2,, Main, 121 ," Eating Area-Breakfast Bar, Updated Kitchen",,,,,, Main, 266 , Combined w/ FamRm, Flooring(Hardwood), Main,," None,Crawl", Hardwood," Natural Gas, Forced Air, 2+ Sep Heating Systems", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer"," 1st Floor Bedroom, 1st Floor Full Bath",
37,https://www.zillow.com/homedetails/1919-W-Crystal-St-APT-201-Chicago-IL-60622/113956800_zpid/,"720,000","1919 W Crystal St APT 201,"," Chicago, IL 60622",Condominium,2009,,"1,725", 2, 2, 2,, Main, 140 , Island,,,,, Flooring(Hardwood), Main, 378 , Combined w/ LivRm, Flooring(Hardwood), Main,, None, Hardwood," Natural Gas, Forced Air", Central Air," Range, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal"," Vaulted/Cathedral Ceilings, 1st Floor Full Bath, Walk-In Closet(s)",
38,https://www.zillow.com/homedetails/3427-Lake-St-Lansing-IL-60438/4293587_zpid/,"450,000","3427 Lake St,"," Lansing, IL 60438",Multi Family,1908,,--, 3, 2, 2,,,,,,,,,,,,,,,," Partial,Unfinished",, Natural Gas,,,,
39,https://www.zillow.com/homedetails/15267-Hiawatha-Trl-Orland-Park-IL-60462/4189906_zpid/,"365,000","15267 Hiawatha Trl,"," Orland Park, IL 60462",Single Family Residence,1967,0.27 Acres,"1,132", 4, 2, 2,, Main, 154 ,,,,,,, Main, 304 ,,, Main,," Full,Walkout,Finished,Rec/Family Area",, Natural Gas, Central Air,, In-Law Floorplan,
